rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, soc_sec_id
rec-385-org, monique, nicolle, 39, river street, greenslopes, modbury heights, 3109, vic, 19510801, 3195914
rec-189-org, angus, rawlings, 46, tanumbirini street, winchester downs, ryde, 7015, vic, 19570411, 4708711
rec-262-dup-1, william, bridgland, 9, lawes lace, nullo mntain, balwyn north, 4034, nsw, 19711011, 4898369
rec-365-org, kiara, matthews, 24, cerutty crescent, bonnie doon, padstow, 3149, wa, 19511126, 1493317
rec-103-org, joshua, miles, 93, bushby place, delmar, port macquarie, 2260, tas, 19011127, 6444983
rec-263-org, joshua, taute, 242, hawken street, byado, trigg, 2560, nsw, 19581211, 2693912
rec-376-org, hannah, hanigan, 45, de burgh street, roskhill, st andrews, 6112, act, 19261109, 6368720
rec-374-dup-0, eloise, cooxn, 3, petter street, , blackall, 4309, vic, 19950128, 9053506
rec-143-org, xavier, mollross, 9, callemonda rise, , ivanhoe, 3042, vic, 19360806, 2169396
rec-76-dup-0, sam, perriam, 19, scrivener street, glenbrae, murrumbateman, 4061, qld, 19440620, 4176370
rec-55-org, lucy, gladman, 20, elimatta street, millbay, mitcham, 2281, vic, 19851126, 6658654
rec-145-org, max, mccarthy, 43, burkitt street, jemalong retrmnt vlge, redbank plains, 5044, qld, 19800530, 1613396
rec-391-org, nikki, hawkings, 24, hodgson crescent, naringal orchard, carnegie, 4354, nsw, 19151219, 1088489
rec-296-org, taylor, burford, 90, middleton circuit, the crater, bemboka, 4810, sa, 19100415, 3921980
rec-207-org, macey, bristow, 21, officer crescent, lethbridge court, yenda, 2082, nsw, 19250331, 7448453
rec-281-org, jack, reid, 120, summerland circuit, blue hills, nelson, 7009, vic, 19840304, 7181992
rec-52-org, cooper, rickett, 39, mcclure street, somerset cottage, st ives, 6024, vic, 19780608, 1595769
rec-393-org, nicholas, miell, 12, nona place, parklands village, rivett, 7301, qld, , 5284134
rec-219-dup-1, kailin, rapso, 7, phillip avenue, st francis village, robertson, 4104, wa, 19000122, 5804521
rec-135-org, zac, tiller, 136, guest place, trevenson park stud, corrimal, 3810, qld, 19221031, 9880379
rec-126-org, georgia, burnell, 33, holt place, lords house, evandale, 2508, vic, 19961125, 3739112
rec-110-org, oliver, matthews, 25, harry hopman circuit, sunday creek, seaforth, 5630, nsw, 19880321, 9400702
rec-134-dup-0, holly, quilliam, 52, ebden s rteet, westholme, elwood, 5162, vic, , 4499484
rec-39-org, alexis, reid, 33, seaborn place, stanton, balwyn north, 2795, vic, 19210305, 4403845
rec-249-dup-0, joshua, chandler, 44, hansen ci rcuit, rydellan, brighgon, 2122, vic, 19381204, 9740512
rec-254-org, harriet, caruana, , chewings street, bardarra, woronora, 2086, wa, 19621214, 4742067
rec-321-org, brodie, mccarthy, 62, morant circuit, palm lake resort, mount eliza, 3084, sa, 19480102, 7903398
rec-246-dup-0, stephanie, tilliard, 17, handasydestreet, westerdale, gosford east, 3400, vic, 19390730, 3117829
rec-196-org, katelin, crofts, 26, milson street, pevensey, utakarra, 2540, nsw, 19360609, 5313892
rec-362-org, brooke, browne, 781, smalley circuit, watamurra, lamington, 3550, qld, 19090324, 3242141
rec-95-org, aidyn, , 16, kingscote crescent, brentwood village, waroona, 5114, nsw, 19550709, 1178975
rec-175-org, harry, fair, 30, beela place, ra 881, newcomb, 2340, nsw, 19030612, 2864975
rec-350-org, daniel, white, 48, collicott circuit, rowethorpe, toowoomba, 4740, wa, 19980308, 4726973
rec-8-org, phoebe, coleman, 38, kingsford smith drive, tricorne (cnr scone r road, alberton, 6050, wa, 19371129, 1871228
rec-324-org, dylan, virag, 211, ebeling court, nunnook, wangaratta, 2614, qld, 19550305, 2854131
rec-322-org, caleb, webb, 14, chandler street, sommerset park, armstrongs beach, 4470, nsw, 19001013, 7230468
rec-151-org, abby, stephenson, 5, gouger street, rosetta village, narre warren north, 4122, vic, 19041208, 2011526
rec-198-org, rebecca, spicer, 22, wilshire street, wondersun, waterloo, 2230, nsw, 19010915, 2194216
rec-22-dup-0, jesscia, clarke, 14, cleeve place, millard centre, , 2445, vic, 19370717, 9707190
rec-241-org, , noble, 6, strehlow place, , kingston, 2480, sa, 19930330, 6023219
rec-225-org, trent, hemus, 34, paul coe crescent, spring ridge, gorokan, 2104, qld, 19231229, 2499482
rec-323-org, wade, manalac, 15, blamey crescent, lakeview park, coolamon, 3218, vic, 19410118, 8521980
rec-332-org, ryan, matthews, 22, moss street, wyuna, daisy hill, 2640, nsw, 19490405, 9202152
rec-302-dup-0, , hemmings, 7, mcintosh street, , tareg, 0810, vic, 19160509, 7576740
rec-383-org, alana, von holst, 68, laidley place, , east fremantle, 3953, qld, 19591113, 8217840
rec-394-dup-0, thoias, white, 55, woodflul loop, stone oak farm, tarratindi, 3197, qld, 19690605, 3739737
rec-156-org, melanie, enjakovic, 18, namatjira drive, cherry haven, rose bay, 2478, qld, 19720722, 3607762
rec-116-org, xepheren, dmytriw, 5, ferrett circuit, , blackmans bay, 2217, vic, 19430301, 3566317
rec-237-org, zachary, blake, 25, gibson street, , manunda, 4800, nsw, 19060723, 3571100
rec-111-org, joshua, denne, 139, discovery street, st francis village, benowa, 4065, qld, 19840224, 3606789
rec-395-dup-2, ella, steed, 99, moule place, sec 5 169, nuriootpa, 3108, wa, 19640422, 7888753
rec-327-org, emiily, mccarthy, 301, la perouse street, country rd estate, albany creek, 3124, vic, 19891201, 6049319
rec-61-org, thomas, needham, 5, grylls crescent, hmas cerberus, reynella, 2264, sa, 19690512, 3073933
rec-139-org, genevieve, godfrey, 41, wiburd street, willyaroo street, lismore, 2100, vic, 19650322, 2436165
rec-348-org, blake, nguyen, 11, dobinson place, marsland, hoppers crossing, 3550, vic, 19910921, 9401567
rec-255-org, jackson, aleksander, 22, maloney street, sunnyview, shenton park, 6210, nsw, 19341214, 9475523
rec-193-org, , huxley, 4, blakey close, brokenspoke, enoggera, 2280, nsw, 19550413, 1831588
rec-51-org, william, cannell, 20, starke street, rhode island resort, port lincoln, 4306, qld, 19190218, 3796600
rec-104-org, jessie, thorpe, 60, bannister garden, , tannum sands, 3068, nsw, 19070320, 6730930
rec-222-org, william, deutscher, 1, geeves court, , wahroonga, 4017, qld, 19691107, 4182543
rec-28-dup-0, kelsea, nguyen, 7, newman morris circuit, walmount, , 4122, nsw, , 7949579
rec-282-org, rachel, weller, 160, shepherdson place, ashgrove farms, roleystone, 2170, vic, 19860128, 4733989
rec-219-dup-0, rapson, kaitlin, 7, phillip a venue, st francsi billage, robertson, 4104, wa, 19000122, 5804521
rec-249-dup-1, josua, chandler, 744, hansen circuit, rydellah, brighton, 2122, vic, 19381204, 9740512
rec-392-dup-3, thomas, berryman, 10, nemarangcrescent, legacyg vlge, para hills, 6052, nt, 19521205, 1639092
rec-120-org, kristin, neumann, 3, freda bennett circuit, rosa blanca, manly vale, 2120, nsw, 19260317, 9516298
rec-366-org, will, dixon, 8, julius street, lindenleigh, greenwood, 4218, nsw, 19240813, 3504429
rec-54-org, harrison, tuit, 16, nash place, mandurah gardens est, moss vale, 4032, qld, 19510714, 1988525
rec-383-dup-0, alana, von holst, 68, laidley place, , east fremantle, 3935, qld, 19591113, 8217840
rec-335-org, harry, seib, 8, davey crescent, moocooboola, flagstaff hill, 2650, qld, 19860527, 4814931
rec-197-dup-0, jasaer, eres, 54, lumeah street, calanna medcl centre, narelanv ale, 2042, , 19490102, 9285859
rec-68-org, alisa, plews, 71, blacket street, phoenix park stud, bligh park, 3128, wa, 19750324, 9272013
rec-168-dup-2, julia, ryan, 2, featherto p street, palels tine, knoxfield, 2170, nsw, 19590326, 7471523
rec-246-dup-1, abigail, tilliard, 17, handasyde street, , gosford dast, 3400, vic, 19300730, 3117829
rec-181-org, cassandra, morrison, 55, callister crescent, raffa estate, leeville, 3124, wa, 19310902, 1533933
rec-384-org, danny, eyles, 19, fuhrman street, aminya vlge, heckenberg, 2195, nsw, 19880426, 8344164
rec-250-org, timothy, savino, 232, gurrang avenue, caravn park, mentone, 2460, nsw, 19751002, 1217040
rec-219-org, kaitlin, rapson, 7, phillip avenue, st francis village, robertson, 4104, wa, 19000122, 5804521
rec-399-dup-0, berryman, ella, , house circuit, rowethorpe, ivanheo east, 5208, wa, 19801212, 1320277
rec-347-org, david, kunoth, 37, tenison-woods circuit, frank jeffrey hostel, corio, 6220, nsw, 19990629, 8177141
rec-273-org, jake, andrae, 76, albermarle place, farewell, sylvania, 4709, nsw, 19350621, 2065590
rec-325-org, lucas, campbell, 86, martens crescent, windella downs, wellington point, 3662, vic, 19240727, 5293623
rec-267-org, karli, mason, 459, hampton circuit, dalkeith homestead street, smithfield plains, 2153, vic, 19060713, 4708865
rec-37-org, flynn, husseini, 73, simpson street, montado, hoppers crossing, 4511, qld, 19111207, 1857251
rec-10-org, byron, lomman, 67, mcclintock street, environa, curl curl, 2093, wa, 19660415, 8230685
rec-42-org, lachlan, mazzone, 7, darke street, regent view, kincumber, 4178, vic, 19560420, 8537310
rec-271-org, aaliyah, blunden, 8, longman street, mt forrest, mulgrave east, 5113, vic, 19621203, 1850596
rec-185-org, abbie, meaney, 50, ern florence crescent, bindaree, arundel, 6018, vic, 19440921, 4033215
rec-318-org, flynn, white, 143, bean crescent, clarkbrae, daisy hill, 2209, vic, 19421204, 1486355
rec-176-org, callum, boyle, 67, archer street, sec 1, kyabram, 4680, vic, 19371004, 5773309
rec-234-org, ebony, white, 19, archibald street, rosetta village, sefton, 3551, nsw, 19921216, 4713155
rec-9-org, nacoya, belling, , pulleine crescent, the hammond village, singleton heights, 3941, vic, 19231215, 8860682
rec-265-org, james, grierson, 14, castleton crescent, donvale retirement, gwandalan, 5454, vic, 19530720, 7533797
rec-320-org, jarvis, fernando, 2, goldfinch circuit, marlin cove, avoca beach, 4131, qld, 19470511, 2248384
rec-159-dup-1, brody, depold, 28, jacobs street, coultercourt, faddeh, 3844, vic, 19730511, 7962708
rec-0-dup-0, jasper, polles, 16, dunfield park, tullaroop street, boulder, 4307, nsw, 19170428, 8333202
rec-368-org, riley, campbell, 4, preddey way, casuarina village, kyabram, 2162, nsw, 19470415, 8581388
rec-246-org, abigail, tilliard, 17, handasyde street, westerdale, gosford east, 3400, vic, 19390730, 3117829
rec-154-dup-2, ruby, clarke, 171, daley vrescent, , burnside, 3044, qld, 19820709, 7689332
rec-298-org, aidyn, galantomos, 15, foxlow close, , graceville, 2283, nsw, 19590511, 6597675
rec-221-dup-1, kane, webb, 10, barron street, ellangowan, , 3081, nsw, 19031013, 3137764
rec-87-org, eliza, marshman, 179, grampians street, west road, loganholme, 4207, qld, 19540624, 6122196
rec-208-org, lachlan, wheatley, 7, hallstrom circuit, pinewood, winston hills, 4014, nsw, 19530730, 8356682
rec-197-dup-1, jasper, rees, 54, lumeah street, calanna medclcentre, narellan vale, 2042, , 19490102, 9285859
rec-106-org, stella, mandica, 95, piddington street, argyle garden, nicholls, 3192, , 19150309, 5346793
rec-229-org, wilson, singleton, 19, whitford place, pegg's creek, murray bridge, 2541, vic, 19141005, 8801211
rec-314-dup-2, emikily, reid, 391, mackie crescent, woolgoolga retirtement village, yorkeys knob, 4169, vic, 19811110, 1033627
rec-112-org, michael, voy, 23, majura road, stump jump, lamington, 2232, qld, 19151015, 5592613
rec-20-org, chelsea, bellchambers, 49, hensman street, janefield, surrey hills, 7010, qld, 19790416, 6495135
rec-4-org, sean, rabe, 14, harris street, oakdale, , 3174, vic, 19350721, 9192090
rec-192-org, christian, clarke, 6, mccombie street, myona, blackmans bay, 3019, wa, 19521023, 9477454
rec-212-org, jacob, orpwood, , bage place, shiloah, hinchinbrook, 4121, sa, 19441231, 8922782
rec-13-org, andrew, ayer, 16, daly place, juanne, brunswick west, 2760, nsw, 19370618, 3341982
rec-221-org, kane, webb, 19, barron street, ellangowan, , 3081, nsw, 19031013, 3137764
rec-154-dup-1, ruby, clarke, 117, daley crescent, , burnside, 3044, qld, 19820709, 7698332
rec-110-dup-1, oliver, matth ews, 25, harry hopman circuit, sunday creek, seaforth, 5630, nsw, 19880321, 9400702
rec-262-dup-2, william, bridgland, 9, lawes pvace, nullo mntain, balwyn north, 4034, nsw, 19711011, 1514542
rec-371-org, ellen, camp, 16, leahy close, montrose, sunshine, 4670, nsw, 19610623, 9467865
rec-244-org, emiily, goffredo, 1, gsell place, spring banks, old erowal bay, 3444, nsw, 19940405, 9704244
rec-117-org, cooper, condo, 46, federal highway, , beverly hills, 2603, wa, 19840407, 9950177
rec-312-org, hudson, mitton, 57, scratchley place, else wares, nudgee, 2259, vic, 19010624, 5423530
rec-107-org, ethan, thorpe, 23, kellway street, lindoran, kenilworth, 7004, nsw, 19931128, 1461765
rec-289-org, , green, 81, badenoch crescent, captains creek, wurruk, 6004, nsw, 19411229, 4009736
rec-264-dup-2, campbdll, megan, 21, dacomb court, brentwood vlge, mito, 4313, act, 19871012, 7090323
rec-269-dup-1, carla, ebert, 23, long place, walyaming farms, allinhgam, 4520, vic, 19810620, 4914839
rec-59-dup-1, james, mason, 43, anderson street, , como, 3156, nsw, 19190213, 8516547
rec-329-org, brooke, vincent, 333, davy place, laurel bank, windang, 2324, nsw, 19900810, 1731989
rec-396-org, lucy, le grand, 32, dianella street, millridge, mentone, 2760, vic, 19140309, 8911690
rec-395-dup-1, ella, dteed, 21, moule place, sec 1569, unanderra, 3018, , 19640422, 7888753
rec-146-org, alexandra, clarke, 16, maclachlan street, osborne house, nairne, 3079, wa, 19200907, 1193883
rec-134-dup-1, holly, quilliam, 52, ebden treet, westhomle, harden, 5162, vic, 19590630, 8085282
rec-172-org, gianni, finlay, 102, darcy close, casablanca, innot hot springs, 2782, tas, 19761216, 7311535
rec-38-org, ashleigh, aberg, 138, jim pike avenue, shadoof lodge, avoca, 3424, qld, 19251015, 9034664
rec-308-org, benjamin, diantsis, 97, collocott crescent, conmurra, armidale, 4342, qld, 19060114, 9765241
rec-245-org, zack, wardle, 6, la perouse street, parkridge villa, coffs harbour, 4215, qld, 19020522, 7900773
rec-154-dup-0, ruby, montfrooy, 117, daley crescent, , burnside, 3044, qld, 19820709, 7689332
rec-386-org, tyler, clarke, 4, alexander mackie circuit, , mcdowall, 3437, nsw, 19290219, 5902473
rec-59-org, james, mason, 43, anderson street, , como, 3156, nsw, 19190213, 9672666
